Date,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
2019-01-01,Electricity demand,Demand,Demand,TWh,17.87,,
2019-01-01,Electricity generation,Aggregate fuel,Clean,%,23.06,,
2019-01-01,Electricity generation,Aggregate fuel,Fossil,%,76.95,,
2019-01-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,23.06,,
2019-01-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,18.97,,
2019-01-01,Electricity generation,Aggregate fuel,Renewables,%,23.06,,
2019-01-01,Electricity generation,Aggregate fuel,Wind and Solar,%,4.09,,
2019-01-01,Electricity generation,Aggregate fuel,Clean,TWh,4.12,,
2019-01-01,Electricity generation,Aggregate fuel,Fossil,TWh,13.75,,
2019-01-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,4.12,,
2019-01-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,3.39,,
2019-01-01,Electricity generation,Aggregate fuel,Renewables,TWh,4.12,,
2019-01-01,Electricity generation,Aggregate fuel,Wind and Solar,TWh,0.73,,
2019-01-01,Electricity generation,Fuel,Coal,%,53.89,,
2019-01-01,Electricity generation,Fuel,Gas,%,23.06,,
2019-01-01,Electricity generation,Fuel,Hydro,%,18.97,,
2019-01-01,Electricity generation,Fuel,Other Fossil,%,0.0,,
2019-01-01,Electricity generation,Fuel,Solar,%,0.0,,
2019-01-01,Electricity generation,Fuel,Wind,%,4.09,,
2019-01-01,Electricity generation,Fuel,Coal,TWh,9.63,,
2019-01-01,Electricity generation,Fuel,Gas,TWh,4.12,,
2019-01-01,Electricity generation,Fuel,Hydro,TWh,3.39,,
2019-01-01,Electricity generation,Fuel,Other Fossil,TWh,0.0,,
2019-01-01,Electricity generation,Fuel,Solar,TWh,0.0,,
2019-01-01,Electricity generation,Fuel,Wind,TWh,0.73,,
2019-01-01,Electricity generation,Total,Total Generation,TWh,17.87,,
2019-01-01,Electricity imports,Electricity imports,Net Imports,TWh,0.0,,
2019-01-01,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.09,,
2019-01-01,Power sector emissions,Aggregate fuel,Fossil,mtCO2,10.64,,
2019-01-01,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,2.29,,
2019-01-01,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.08,,
2019-01-01,Power sector emissions,Aggregate fuel,Renewables,mtCO2,0.09,,
2019-01-01,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.01,,
2019-01-01,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,600.45,,
2019-01-01,Power sector emissions,Fuel,Coal,mtCO2,8.35,,
2019-01-01,Power sector emissions,Fuel,Gas,mtCO2,2.29,,
2019-01-01,Power sector emissions,Fuel,Hydro,mtCO2,0.08,,
2019-01-01,Power sector emissions,Fuel,Other Fossil,mtCO2,0.0,,
2019-01-01,Power sector emissions,Fuel,Solar,mtCO2,0.0,,
2019-01-01,Power sector emissions,Fuel,Wind,mtCO2,0.01,,
2019-01-01,Power sector emissions,Total,Total emissions,mtCO2,10.73,,
2019-02-01,Electricity demand,Demand,Demand,TWh,18.89,,
2019-02-01,Electricity generation,Aggregate fuel,Clean,%,28.22,,
2019-02-01,Electricity generation,Aggregate fuel,Fossil,%,71.79,,
2019-02-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,19.38,,
2019-02-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,28.22,,
2019-02-01,Electricity generation,Aggregate fuel,Renewables,%,28.22,,
2019-02-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.0,,
2019-02-01,Electricity generation,Aggregate fuel,Clean,TWh,5.33,,
2019-02-01,Electricity generation,Aggregate fuel,Fossil,TWh,13.56,,
2019-02-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,3.66,,
2019-02-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,5.33,,
2019-02-01,Electricity generation,Aggregate fuel,Renewables,TWh,5.33,,
2019-02-01,Electricity generation,Aggregate fuel,Wind and Solar,TWh,0.0,,
2019-02-01,Electricity generation,Fuel,Coal,%,52.41,,
2019-02-01,Electricity generation,Fuel,Gas,%,19.27,,
2019-02-01,Electricity generation,Fuel,Hydro,%,28.22,,
2019-02-01,Electricity generation,Fuel,Other Fossil,%,0.11,,
2019-02-01,Electricity generation,Fuel,Solar,%,0.0,,
2019-02-01,Electricity generation,Fuel,Wind,%,0.0,,
2019-02-01,Electricity generation,Fuel,Coal,TWh,9.9,,
2019-02-01,Electricity generation,Fuel,Gas,TWh,3.64,,
2019-02-01,Electricity generation,Fuel,Hydro,TWh,5.33,,
2019-02-01,Electricity generation,Fuel,Other Fossil,TWh,0.02,,
2019-02-01,Electricity generation,Fuel,Solar,TWh,0.0,,
2019-02-01,Electricity generation,Fuel,Wind,TWh,0.0,,
2019-02-01,Electricity generation,Total,Total Generation,TWh,18.89,,
2019-02-01,Electricity imports,Electricity imports,Net Imports,TWh,0.0,,
2019-02-01,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.13,,
2019-02-01,Power sector emissions,Aggregate fuel,Fossil,mtCO2,10.63,,
2019-02-01,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,2.04,,
2019-02-01,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.13,,
2019-02-01,Power sector emissions,Aggregate fuel,Renewables,mtCO2,0.13,,
2019-02-01,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.0,,
2019-02-01,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,569.61,,
2019-02-01,Power sector emissions,Fuel,Coal,mtCO2,8.59,,
2019-02-01,Power sector emissions,Fuel,Gas,mtCO2,2.03,,
2019-02-01,Power sector emissions,Fuel,Hydro,mtCO2,0.13,,
2019-02-01,Power sector emissions,Fuel,Other Fossil,mtCO2,0.01,,
2019-02-01,Power sector emissions,Fuel,Solar,mtCO2,0.0,,
2019-02-01,Power sector emissions,Fuel,Wind,mtCO2,0.0,,
2019-02-01,Power sector emissions,Total,Total emissions,mtCO2,10.76,,
2019-03-01,Electricity demand,Demand,Demand,TWh,16.11,,
2019-03-01,Electricity generation,Aggregate fuel,Clean,%,26.01,,
2019-03-01,Electricity generation,Aggregate fuel,Fossil,%,73.99,,
2019-03-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,21.66,,
2019-03-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,25.51,,
2019-03-01,Electricity generation,Aggregate fuel,Renewables,%,26.01,,
2019-03-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.5,,
2019-03-01,Electricity generation,Aggregate fuel,Clean,TWh,4.19,,
2019-03-01,Electricity generation,Aggregate fuel,Fossil,TWh,11.92,,
2019-03-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,3.49,,
2019-03-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,4.11,,
2019-03-01,Electricity generation,Aggregate fuel,Renewables,TWh,4.19,,
2019-03-01,Electricity generation,Aggregate fuel,Wind and Solar,TWh,0.08,,
2019-03-01,Electricity generation,Fuel,Coal,%,52.33,,
2019-03-01,Electricity generation,Fuel,Gas,%,21.66,,
2019-03-01,Electricity generation,Fuel,Hydro,%,25.51,,
2019-03-01,Electricity generation,Fuel,Other Fossil,%,0.0,,
2019-03-01,Electricity generation,Fuel,Solar,%,0.5,,
2019-03-01,Electricity generation,Fuel,Wind,%,0.0,,
2019-03-01,Electricity generation,Fuel,Coal,TWh,8.43,,
2019-03-01,Electricity generation,Fuel,Gas,TWh,3.49,,
2019-03-01,Electricity generation,Fuel,Hydro,TWh,4.11,,
2019-03-01,Electricity generation,Fuel,Other Fossil,TWh,0.0,,
2019-03-01,Electricity generation,Fuel,Solar,TWh,0.08,,
2019-03-01,Electricity generation,Fuel,Wind,TWh,0.0,,
2019-03-01,Electricity generation,Total,Total Generation,TWh,16.11,,
2019-03-01,Electricity imports,Electricity imports,Net Imports,TWh,0.0,,
2019-03-01,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.1,,
2019-03-01,Power sector emissions,Aggregate fuel,Fossil,mtCO2,9.25,,
2019-03-01,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,1.94,,
2019-03-01,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.1,,
2019-03-01,Power sector emissions,Aggregate fuel,Renewables,mtCO2,0.1,,
2019-03-01,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.0,,
2019-03-01,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,580.39,,
2019-03-01,Power sector emissions,Fuel,Coal,mtCO2,7.31,,
2019-03-01,Power sector emissions,Fuel,Gas,mtCO2,1.94,,
2019-03-01,Power sector emissions,Fuel,Hydro,mtCO2,0.1,,
2019-03-01,Power sector emissions,Fuel,Other Fossil,mtCO2,0.0,,
2019-03-01,Power sector emissions,Fuel,Solar,mtCO2,0.0,,
2019-03-01,Power sector emissions,Fuel,Wind,mtCO2,0.0,,
2019-03-01,Power sector emissions,Total,Total emissions,mtCO2,9.35,,
2019-04-01,Electricity demand,Demand,Demand,TWh,20.0,,
2019-04-01,Electricity generation,Aggregate fuel,Clean,%,27.6,,
2019-04-01,Electricity generation,Aggregate fuel,Fossil,%,72.4,,
2019-04-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,19.4,,
2019-04-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,27.2,,
2019-04-01,Electricity generation,Aggregate fuel,Renewables,%,27.6,,
2019-04-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.4,,
2019-04-01,Electricity generation,Aggregate fuel,Clean,TWh,5.52,,
2019-04-01,Electricity generation,Aggregate fuel,Fossil,TWh,14.48,,
2019-04-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,3.88,,
2019-04-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,5.44,,
2019-04-01,Electricity generation,Aggregate fuel,Renewables,TWh,5.52,,
2019-04-01,Electricity generation,Aggregate fuel,Wind and Solar,TWh,0.08,,
2019-04-01,Electricity generation,Fuel,Coal,%,53.0,,
2019-04-01,Electricity generation,Fuel,Gas,%,19.4,,
2019-04-01,Electricity generation,Fuel,Hydro,%,27.2,,
2019-04-01,Electricity generation,Fuel,Other Fossil,%,0.0,,
2019-04-01,Electricity generation,Fuel,Solar,%,0.4,,
2019-04-01,Electricity generation,Fuel,Wind,%,0.0,,
2019-04-01,Electricity generation,Fuel,Coal,TWh,10.6,,
2019-04-01,Electricity generation,Fuel,Gas,TWh,3.88,,
2019-04-01,Electricity generation,Fuel,Hydro,TWh,5.44,,
2019-04-01,Electricity generation,Fuel,Other Fossil,TWh,0.0,,
2019-04-01,Electricity generation,Fuel,Solar,TWh,0.08,,
2019-04-01,Electricity generation,Fuel,Wind,TWh,0.0,,
2019-04-01,Electricity generation,Total,Total Generation,TWh,20.0,,
2019-04-01,Electricity imports,Electricity imports,Net Imports,TWh,0.0,,
2019-04-01,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.13,,
2019-04-01,Power sector emissions,Aggregate fuel,Fossil,mtCO2,11.35,,
2019-04-01,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,2.16,,
2019-04-01,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.13,,
2019-04-01,Power sector emissions,Aggregate fuel,Renewables,mtCO2,0.13,,
