Date,Clean,Coal,Demand,Fossil,Gas,Gas and Other Fossil,Hydro,"Hydro, Bioenergy and Other Renewables",Net Imports,Other Fossil,Renewables,Solar,Total Generation,Wind,Wind and Solar
2019-01-01,4.12,9.63,17.87,13.75,4.12,4.12,3.39,3.39,0.0,0.0,4.12,0.0,17.87,0.73,0.73
2019-02-01,5.33,9.9,18.89,13.56,3.64,3.66,5.33,5.33,0.0,0.02,5.33,0.0,18.89,0.0,0.0
2019-03-01,4.19,8.43,16.11,11.92,3.49,3.49,4.11,4.11,0.0,0.0,4.19,0.08,16.11,0.0,0.08
2019-04-01,5.52,10.6,20.0,14.48,3.88,3.88,5.44,5.44,0.0,0.0,5.52,0.08,20.0,0.0,0.08
2019-05-01,5.67,11.18,20.86,15.19,3.84,4.01,5.47,5.47,0.0,0.17,5.67,0.2,20.86,0.0,0.2
2019-06-01,6.64,10.4,21.46,14.82,3.84,4.42,6.12,6.12,0.0,0.58,6.64,0.52,21.46,0.0,0.52
2019-07-01,7.54,10.47,21.66,14.12,3.65,3.65,6.9,6.9,0.0,0.0,7.54,0.64,21.66,0.0,0.64
2019-08-01,8.62,8.99,20.97,12.35,3.35,3.36,7.97,7.97,0.0,0.01,8.62,0.65,20.97,0.0,0.65
2019-09-01,7.86,8.46,19.36,11.5,3.04,3.04,7.25,7.25,0.0,0.0,7.86,0.61,19.36,0.0,0.61
2019-10-01,6.74,9.5,19.96,13.22,3.33,3.72,6.24,6.24,0.0,0.39,6.74,0.45,19.96,0.05,0.5
2019-11-01,7.47,11.03,22.81,15.34,4.31,4.31,6.8,6.8,0.0,0.0,7.47,0.0,22.81,0.67,0.67
2019-12-01,7.36,9.9,21.03,13.67,3.64,3.77,6.99,6.99,0.0,0.13,7.36,0.37,21.03,0.0,0.37
2020-01-01,3.03,11.05,18.2,15.17,3.57,4.12,2.08,2.08,0.0,0.55,3.03,0.74,18.2,0.21,0.95
2020-02-01,4.8,10.23,18.12,13.32,3.01,3.09,3.9,3.9,0.0,0.08,4.8,0.79,18.12,0.11,0.9
2020-03-01,3.86,12.64,19.76,15.9,2.87,3.26,2.95,2.95,0.0,0.39,3.86,0.78,19.76,0.13,0.91
2020-04-01,3.6,11.42,18.18,14.58,3.16,3.16,2.67,2.67,0.0,0.0,3.6,0.82,18.18,0.11,0.93
2020-05-01,5.02,12.76,21.12,16.1,3.33,3.34,4.12,4.12,0.0,0.01,5.02,0.83,21.12,0.07,0.9
2020-06-01,6.65,11.68,21.62,14.97,3.29,3.29,5.83,5.83,0.0,0.0,6.65,0.75,21.62,0.07,0.82
2020-07-01,8.59,11.1,22.85,14.26,3.16,3.16,7.67,7.67,0.0,0.0,8.59,0.85,22.85,0.07,0.92
2020-08-01,10.75,8.0,21.32,10.57,2.56,2.57,9.81,9.81,0.0,0.01,10.75,0.83,21.32,0.11,0.94
