zone,datetime,createdAt,updatedAt,value,unit,source,isEstimated,estimationMethod
VN,2025-01-01 00:00:00+00:00,2025-06-19T14:36:15.406Z,2025-10-01T17:06:36.535Z,27636.88828500096,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 01:00:00+00:00,2025-06-19T14:35:47.033Z,2025-10-01T17:06:32.968Z,32263.58333590955,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 02:00:00+00:00,2025-06-19T14:36:15.406Z,2025-10-01T17:06:32.968Z,25874.873455819332,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 03:00:00+00:00,2025-06-19T14:36:15.406Z,2025-10-01T17:06:32.968Z,29300.68505066293,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 04:00:00+00:00,2025-06-19T14:36:15.406Z,2025-10-01T17:07:14.046Z,42074.99514653056,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 05:00:00+00:00,2025-06-19T14:36:15.406Z,2025-10-01T17:06:32.968Z,31290.938517118208,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 06:00:00+00:00,2025-06-19T14:36:15.406Z,2025-10-01T17:06:36.535Z,37782.57573535492,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 07:00:00+00:00,2025-06-19T14:35:47.033Z,2025-10-01T17:06:32.968Z,29974.0711868039,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 08:00:00+00:00,2025-06-19T14:35:47.033Z,2025-10-01T17:06:32.968Z,41568.84600849713,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 09:00:00+00:00,2025-06-19T14:36:15.406Z,2025-10-01T17:06:36.535Z,25206.065560671777,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
VN,2025-01-01 10:00:00+00:00,2025-06-19T14:36:15.406Z,2025-10-01T17:06:36.535Z,29046.075739272048,MW,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,True,SANDBOX_MODE_DATA
