date,precip_HN,precip_DN,precip_HCM
2019-01-31,69.1,240.8,12.200000000000001
2019-02-28,73.2,15.1,3.8
2019-03-31,68.39999999999999,22.9,10.3
2019-04-30,273.3,5.6,48.2
2019-05-31,265.3,80.8,237.8
2019-06-30,212.6,8.5,202.29999999999998
2019-07-31,247.2,168.5,259.4
2019-08-31,556.8,235.2,299.40000000000003
2019-09-30,221.9,269.7,326.3
2019-10-31,168.2,270.6,141.9
2019-11-30,67.0,237.4,83.89999999999999
2019-12-31,43.4,87.8,2.7
2020-01-31,101.0,116.8,2.8
2020-02-29,80.1,88.0,4.300000000000001
2020-03-31,169.3,38.8,4.8
2020-04-30,145.9,167.7,60.7
2020-05-31,137.6,25.6,154.1
2020-06-30,118.9,12.7,381.6
2020-07-31,141.2,27.4,293.8
2020-08-31,500.7,133.8,283.6
2020-09-30,597.2,131.5,363.1
2020-10-31,294.5,811.6,411.3
2020-11-30,81.9,576.5,123.5
2020-12-31,23.3,325.3,81.3
2021-01-31,14.2,141.9,22.8
2021-02-28,63.3,43.2,18.6
2021-03-31,52.9,79.5,11.2
2021-04-30,164.7,29.9,220.8
2021-05-31,123.6,17.9,272.3
2021-06-30,211.1,44.7,175.2
2021-07-31,262.7,61.2,284.0
2021-08-31,250.9,77.7,309.4
2021-09-30,267.7,408.7,369.1
2021-10-31,452.7,575.9,383.0
2021-11-30,49.4,311.3,245.7
2021-12-31,8.2,398.1,21.2
2022-01-31,72.6,172.4,10.6
2022-02-28,100.5,71.89999999999999,30.7
2022-03-31,95.2,67.8,75.0
2022-04-30,43.8,294.8,231.20000000000002
2022-05-31,328.3,112.1,368.1
2022-06-30,234.9,26.0,325.5
2022-07-31,320.5,124.7,311.9
2022-08-31,493.0,106.89999999999999,326.5
2022-09-30,427.4,344.0,369.4
2022-10-31,144.4,506.59999999999997,296.6
2022-11-30,83.5,145.1,178.5
2022-12-31,16.0,343.6,32.6
2023-01-31,10.9,187.2,96.6
2023-02-28,50.300000000000004,118.3,12.0
2023-03-31,28.8,40.7,3.9000000000000004
2023-04-30,64.2,25.6,86.4
2023-05-31,126.8,65.89999999999999,245.8
2023-06-30,298.9,79.3,286.5
2023-07-31,156.9,96.2,412.6
2023-08-31,464.2,82.6,341.4
2023-09-30,338.1,199.4,447.0
2023-10-31,62.5,715.7,403.2
2023-11-30,43.6,366.6,124.7
2023-12-31,18.3,391.5,29.1
2024-01-31,142.6,152.5,1.7
2024-02-29,29.2,31.8,5.2
2024-03-31,121.0,38.7,4.6
2024-04-30,41.6,2.1,4.2
2024-05-31,319.3,71.3,246.70000000000002
2024-06-30,519.3,138.5,241.8
2024-07-31,577.5,120.30000000000001,385.9
2024-08-31,334.0,33.300000000000004,284.3
2024-09-30,599.4,316.3,416.2
2024-10-31,81.5,528.0,342.2
2024-11-30,8.2,470.8,78.0
2024-12-31,12.700000000000001,303.9,113.9
2025-01-31,18.7,111.30000000000001,17.5
2025-02-28,48.0,106.6,46.6
2025-03-31,31.7,184.9,26.8
2025-04-30,154.5,38.1,71.0
2025-05-31,255.79999999999998,65.2,305.7
2025-06-30,481.2,393.0,344.3
2025-07-31,320.8,142.3,331.2
2025-08-31,381.6,252.5,440.6
2025-09-30,333.9,351.7,451.0
2025-10-31,281.7,826.7,283.8
