,Hydro Pumped Storage,Hydro Pumped Storage
,Actual Aggregated,Actual Consumption
timestamp,,
2024-01-01 01:00:00+01:00,483.1,2990.35
2024-01-01 01:15:00+01:00,406.87,2348.43
2024-01-01 01:30:00+01:00,386.87,2361.72
2024-01-01 01:45:00+01:00,386.08,2395.63
2024-01-01 02:00:00+01:00,451.56,3135.68
2024-01-01 02:15:00+01:00,389.55,2986.69
2024-01-01 02:30:00+01:00,386.81,3031.81
2024-01-01 02:45:00+01:00,385.77,3051.32
2024-01-01 03:00:00+01:00,379.02,3272.09
2024-01-01 03:15:00+01:00,316.97,2981.6
2024-01-01 03:30:00+01:00,317.41,3017.37
2024-01-01 03:45:00+01:00,289.0,3100.8
2024-01-01 04:00:00+01:00,164.75,3340.11
2024-01-01 04:15:00+01:00,173.68,3344.13
2024-01-01 04:30:00+01:00,186.39,3186.77
2024-01-01 04:45:00+01:00,185.58,3250.06
2024-01-01 05:00:00+01:00,159.76,3884.91
2024-01-01 05:15:00+01:00,159.14,3450.33
2024-01-01 05:30:00+01:00,199.7,3312.14
2024-01-01 05:45:00+01:00,201.38,3198.99
2024-01-01 06:00:00+01:00,144.27,3925.64
2024-01-01 06:15:00+01:00,142.73,3715.79
2024-01-01 06:30:00+01:00,160.07,3470.4
2024-01-01 06:45:00+01:00,145.56,3521.18
2024-01-01 07:00:00+01:00,146.45,3131.76
2024-01-01 07:15:00+01:00,170.79,2849.91
2024-01-01 07:30:00+01:00,148.44,2629.9
2024-01-01 07:45:00+01:00,144.68,2752.45
2024-01-01 08:00:00+01:00,13.18,2632.58
2024-01-01 08:15:00+01:00,65.18,2715.16
2024-01-01 08:30:00+01:00,4.04,2688.74
2024-01-01 08:45:00+01:00,20.74,3058.11
2024-01-01 09:00:00+01:00,143.54,3472.86
2024-01-01 09:15:00+01:00,142.38,3624.79
2024-01-01 09:30:00+01:00,142.35,3825.92
2024-01-01 09:45:00+01:00,143.75,3836.75
2024-01-01 10:00:00+01:00,65.29,3576.93
2024-01-01 10:15:00+01:00,61.0,3776.42
2024-01-01 10:30:00+01:00,60.06,4085.22
2024-01-01 10:45:00+01:00,61.16,3804.35
2024-01-01 11:00:00+01:00,114.32,3303.73
2024-01-01 11:15:00+01:00,61.41,3369.4
2024-01-01 11:30:00+01:00,60.06,3350.13
2024-01-01 11:45:00+01:00,143.8,3587.55
2024-01-01 12:00:00+01:00,150.59,2734.05
2024-01-01 12:15:00+01:00,83.81,2748.15
2024-01-01 12:30:00+01:00,82.43,3089.9
2024-01-01 12:45:00+01:00,196.21,3151.89
2024-01-01 13:00:00+01:00,150.13,3120.95
2024-01-01 13:15:00+01:00,122.64,3057.98
2024-01-01 13:30:00+01:00,0.43,2588.73
2024-01-01 13:45:00+01:00,35.4,2356.43
2024-01-01 14:00:00+01:00,30.43,1965.68
2024-01-01 14:15:00+01:00,153.63,1247.91
2024-01-01 14:30:00+01:00,334.06,631.9
2024-01-01 14:45:00+01:00,1830.67,550.13
2024-01-01 15:00:00+01:00,353.08,894.56
2024-01-01 15:15:00+01:00,1023.99,518.08
2024-01-01 15:30:00+01:00,1994.61,302.59
2024-01-01 15:45:00+01:00,2379.43,298.35
2024-01-01 16:00:00+01:00,466.18,443.18
2024-01-01 16:15:00+01:00,1208.78,28.79
2024-01-01 16:30:00+01:00,2536.37,17.45
2024-01-01 16:45:00+01:00,3320.97,14.67
2024-01-01 17:00:00+01:00,2239.3,15.51
2024-01-01 17:15:00+01:00,3036.62,10.19
2024-01-01 17:30:00+01:00,3167.51,10.21
2024-01-01 17:45:00+01:00,3480.22,10.38
2024-01-01 18:00:00+01:00,4295.04,9.34
2024-01-01 18:15:00+01:00,4094.45,9.08
2024-01-01 18:30:00+01:00,4137.63,9.01
2024-01-01 18:45:00+01:00,4054.54,9.11
2024-01-01 19:00:00+01:00,4028.09,12.44
2024-01-01 19:15:00+01:00,3177.24,15.6
2024-01-01 19:30:00+01:00,2704.03,60.49
2024-01-01 19:45:00+01:00,1901.78,64.16
2024-01-01 20:00:00+01:00,1765.43,34.36
2024-01-01 20:15:00+01:00,1366.45,20.4
2024-01-01 20:30:00+01:00,701.65,39.52
2024-01-01 20:45:00+01:00,637.04,266.61
2024-01-01 21:00:00+01:00,1038.75,148.02
2024-01-01 21:15:00+01:00,838.59,103.39
2024-01-01 21:30:00+01:00,596.18,144.84
2024-01-01 21:45:00+01:00,314.34,294.44
2024-01-01 22:00:00+01:00,867.44,257.55
2024-01-01 22:15:00+01:00,590.35,780.02
2024-01-01 22:30:00+01:00,272.14,693.4
2024-01-01 22:45:00+01:00,560.1,1697.38
2024-01-01 23:00:00+01:00,535.75,1109.53
2024-01-01 23:15:00+01:00,544.29,1734.05
2024-01-01 23:30:00+01:00,152.85,1741.87
2024-01-01 23:45:00+01:00,142.13,2221.28
2024-01-02 00:00:00+01:00,239.21,1149.79
2024-01-02 00:15:00+01:00,166.61,1476.36
2024-01-02 00:30:00+01:00,38.5,1833.58
2024-01-02 00:45:00+01:00,34.65,2152.05
2024-01-02 01:00:00+01:00,0.52,1732.85
2024-01-02 01:15:00+01:00,30.67,2236.61
2024-01-02 01:30:00+01:00,2.64,2545.14
2024-01-02 01:45:00+01:00,113.88,2807.0
2024-01-02 02:00:00+01:00,197.22,2546.77
2024-01-02 02:15:00+01:00,171.71,3062.9
2024-01-02 02:30:00+01:00,170.53,3294.16
2024-01-02 02:45:00+01:00,73.95,3407.51
2024-01-02 03:00:00+01:00,24.33,3582.82
2024-01-02 03:15:00+01:00,5.06,3943.69
2024-01-02 03:30:00+01:00,0.06,3763.23
2024-01-02 03:45:00+01:00,1.25,3657.94
2024-01-02 04:00:00+01:00,73.11,3637.08
2024-01-02 04:15:00+01:00,40.35,3705.32
2024-01-02 04:30:00+01:00,39.8,3710.97
2024-01-02 04:45:00+01:00,50.63,3354.68
2024-01-02 05:00:00+01:00,152.51,2930.61
2024-01-02 05:15:00+01:00,144.11,2970.84
2024-01-02 05:30:00+01:00,144.92,2837.9
2024-01-02 05:45:00+01:00,299.41,2436.06
2024-01-02 06:00:00+01:00,181.85,2491.66
2024-01-02 06:15:00+01:00,322.2,2156.51
2024-01-02 06:30:00+01:00,316.1,1352.99
2024-01-02 06:45:00+01:00,645.66,1018.74
2024-01-02 07:00:00+01:00,632.07,1380.8
2024-01-02 07:15:00+01:00,562.83,789.29
2024-01-02 07:30:00+01:00,1038.46,486.81
2024-01-02 07:45:00+01:00,1616.5,287.08
2024-01-02 08:00:00+01:00,1021.64,293.52
2024-01-02 08:15:00+01:00,1141.15,58.97
2024-01-02 08:30:00+01:00,1474.62,10.08
2024-01-02 08:45:00+01:00,1796.42,9.68
2024-01-02 09:00:00+01:00,2273.01,6.82
2024-01-02 09:15:00+01:00,2351.07,3.34
2024-01-02 09:30:00+01:00,2498.66,3.07
2024-01-02 09:45:00+01:00,2554.31,2.89
2024-01-02 10:00:00+01:00,1473.36,39.12
2024-01-02 10:15:00+01:00,1322.76,3.56
2024-01-02 10:30:00+01:00,1424.21,3.32
2024-01-02 10:45:00+01:00,1451.97,3.3
2024-01-02 11:00:00+01:00,918.39,154.58
2024-01-02 11:15:00+01:00,1377.81,159.33
2024-01-02 11:30:00+01:00,2102.02,6.71
2024-01-02 11:45:00+01:00,2444.35,3.25
2024-01-02 12:00:00+01:00,2714.68,2.42
2024-01-02 12:15:00+01:00,2867.72,1.75
2024-01-02 12:30:00+01:00,3136.0,1.88
