timestamp,Hydro Run-of-river and poundage
2024-01-01 01:00:00+01:00,1840.68
2024-01-01 01:15:00+01:00,1849.91
2024-01-01 01:30:00+01:00,1852.49
2024-01-01 01:45:00+01:00,1854.32
2024-01-01 02:00:00+01:00,1853.72
2024-01-01 02:15:00+01:00,1856.16
2024-01-01 02:30:00+01:00,1855.2
2024-01-01 02:45:00+01:00,1856.49
2024-01-01 03:00:00+01:00,1854.58
2024-01-01 03:15:00+01:00,1856.55
2024-01-01 03:30:00+01:00,1855.48
2024-01-01 03:45:00+01:00,1847.58
2024-01-01 04:00:00+01:00,1833.52
2024-01-01 04:15:00+01:00,1832.39
2024-01-01 04:30:00+01:00,1835.58
2024-01-01 04:45:00+01:00,1834.38
2024-01-01 05:00:00+01:00,1836.1
2024-01-01 05:15:00+01:00,1843.73
2024-01-01 05:30:00+01:00,1841.06
2024-01-01 05:45:00+01:00,1831.79
2024-01-01 06:00:00+01:00,1825.4
2024-01-01 06:15:00+01:00,1822.36
2024-01-01 06:30:00+01:00,1821.18
2024-01-01 06:45:00+01:00,1819.76
2024-01-01 07:00:00+01:00,1826.3
2024-01-01 07:15:00+01:00,1827.74
2024-01-01 07:30:00+01:00,1827.35
2024-01-01 07:45:00+01:00,1826.15
2024-01-01 08:00:00+01:00,1832.98
2024-01-01 08:15:00+01:00,1837.88
2024-01-01 08:30:00+01:00,1839.07
2024-01-01 08:45:00+01:00,1839.83
2024-01-01 09:00:00+01:00,1839.97
2024-01-01 09:15:00+01:00,1839.89
2024-01-01 09:30:00+01:00,1843.02
2024-01-01 09:45:00+01:00,1862.44
2024-01-01 10:00:00+01:00,1871.39
2024-01-01 10:15:00+01:00,1899.78
2024-01-01 10:30:00+01:00,1905.54
2024-01-01 10:45:00+01:00,1913.33
2024-01-01 11:00:00+01:00,1926.54
2024-01-01 11:15:00+01:00,1938.26
2024-01-01 11:30:00+01:00,1941.33
2024-01-01 11:45:00+01:00,1944.34
2024-01-01 12:00:00+01:00,1929.47
2024-01-01 12:15:00+01:00,1926.94
2024-01-01 12:30:00+01:00,1896.35
