,Solar,Solar
,Actual Aggregated,Actual Consumption
timestamp,,
2024-01-01 01:00:00+01:00,3.44,0.0
2024-01-01 01:15:00+01:00,2.79,0.0
2024-01-01 01:30:00+01:00,2.91,0.0
2024-01-01 01:45:00+01:00,2.75,0.0
2024-01-01 02:00:00+01:00,3.38,0.0
2024-01-01 02:15:00+01:00,2.68,0.0
2024-01-01 02:30:00+01:00,2.86,0.0
2024-01-01 02:45:00+01:00,2.84,0.0
2024-01-01 03:00:00+01:00,3.49,0.0
2024-01-01 03:15:00+01:00,2.83,0.0
2024-01-01 03:30:00+01:00,3.57,0.0
2024-01-01 03:45:00+01:00,2.84,0.0
2024-01-01 04:00:00+01:00,2.73,0.0
2024-01-01 04:15:00+01:00,2.86,0.0
2024-01-01 04:30:00+01:00,2.8,0.0
2024-01-01 04:45:00+01:00,2.68,0.0
2024-01-01 05:00:00+01:00,2.61,0.0
2024-01-01 05:15:00+01:00,2.65,0.0
2024-01-01 05:30:00+01:00,3.43,0.0
2024-01-01 05:45:00+01:00,3.57,0.0
2024-01-01 06:00:00+01:00,2.79,0.0
2024-01-01 06:15:00+01:00,2.93,0.0
2024-01-01 06:30:00+01:00,3.28,0.0
2024-01-01 06:45:00+01:00,3.79,0.0
2024-01-01 07:00:00+01:00,3.08,0.0
2024-01-01 07:15:00+01:00,3.99,0.0
2024-01-01 07:30:00+01:00,4.31,0.0
2024-01-01 07:45:00+01:00,4.92,0.0
2024-01-01 08:00:00+01:00,9.96,0.0
2024-01-01 08:15:00+01:00,87.27,0.0
2024-01-01 08:30:00+01:00,491.92,0.0
2024-01-01 08:45:00+01:00,1112.48,0.0
2024-01-01 09:00:00+01:00,1936.39,0.0
2024-01-01 09:15:00+01:00,2834.96,0.0
2024-01-01 09:30:00+01:00,3656.39,0.0
2024-01-01 09:45:00+01:00,4458.39,0.0
2024-01-01 10:00:00+01:00,5308.46,0.0
2024-01-01 10:15:00+01:00,6109.39,0.0
2024-01-01 10:30:00+01:00,6752.81,0.0
2024-01-01 10:45:00+01:00,7246.17,0.0
2024-01-01 11:00:00+01:00,7794.02,0.0
2024-01-01 11:15:00+01:00,8201.95,0.0
2024-01-01 11:30:00+01:00,8363.62,0.0
2024-01-01 11:45:00+01:00,8286.99,0.0
2024-01-01 12:00:00+01:00,8145.59,0.0
2024-01-01 12:15:00+01:00,8039.16,0.0
2024-01-01 12:30:00+01:00,7710.41,0.0
2024-01-01 12:45:00+01:00,7332.02,0.0
2024-01-01 13:00:00+01:00,6996.16,0.0
2024-01-01 13:15:00+01:00,6637.1,0.0
2024-01-01 13:30:00+01:00,6217.2,0.0
2024-01-01 13:45:00+01:00,5710.38,0.0
2024-01-01 14:00:00+01:00,5258.34,0.0
2024-01-01 14:15:00+01:00,4605.2,0.0
2024-01-01 14:30:00+01:00,3875.65,0.0
2024-01-01 14:45:00+01:00,3127.95,0.0
2024-01-01 15:00:00+01:00,2386.68,0.0
2024-01-01 15:15:00+01:00,1689.47,0.0
2024-01-01 15:30:00+01:00,1057.53,0.0
2024-01-01 15:45:00+01:00,583.08,0.0
2024-01-01 16:00:00+01:00,249.08,0.0
2024-01-01 16:15:00+01:00,66.73,0.0
2024-01-01 16:30:00+01:00,14.0,0.0
2024-01-01 16:45:00+01:00,7.8,0.0
2024-01-01 17:00:00+01:00,4.45,0.0
2024-01-01 17:15:00+01:00,4.13,0.0
2024-01-01 17:30:00+01:00,7.85,0.0
2024-01-01 17:45:00+01:00,7.06,0.0
2024-01-01 18:00:00+01:00,7.36,0.0
2024-01-01 18:15:00+01:00,6.63,0.0
2024-01-01 18:30:00+01:00,4.06,0.0
2024-01-01 18:45:00+01:00,3.42,0.0
2024-01-01 19:00:00+01:00,5.82,0.0
2024-01-01 19:15:00+01:00,5.99,0.0
2024-01-01 19:30:00+01:00,2.91,0.0
2024-01-01 19:45:00+01:00,2.73,0.0
2024-01-01 20:00:00+01:00,4.23,0.0
2024-01-01 20:15:00+01:00,2.71,0.0
2024-01-01 20:30:00+01:00,2.68,0.0
2024-01-01 20:45:00+01:00,2.63,0.0
2024-01-01 21:00:00+01:00,3.36,0.0
2024-01-01 21:15:00+01:00,2.64,0.0
2024-01-01 21:30:00+01:00,3.27,0.0
2024-01-01 21:45:00+01:00,2.63,0.0
2024-01-01 22:00:00+01:00,2.88,0.0
2024-01-01 22:15:00+01:00,2.49,0.0
2024-01-01 22:30:00+01:00,2.56,0.0
2024-01-01 22:45:00+01:00,2.55,0.0
2024-01-01 23:00:00+01:00,3.46,0.0
2024-01-01 23:15:00+01:00,3.13,0.0
2024-01-01 23:30:00+01:00,2.79,0.0
2024-01-01 23:45:00+01:00,2.77,0.0
2024-01-02 00:00:00+01:00,3.45,0.0
2024-01-02 00:15:00+01:00,3.56,0.0
2024-01-02 00:30:00+01:00,2.66,0.0
2024-01-02 00:45:00+01:00,2.67,0.0
2024-01-02 01:00:00+01:00,2.59,0.0
2024-01-02 01:15:00+01:00,2.52,0.0
2024-01-02 01:30:00+01:00,2.61,0.0
2024-01-02 01:45:00+01:00,2.63,0.0
2024-01-02 02:00:00+01:00,3.32,0.0
2024-01-02 02:15:00+01:00,2.53,0.0
2024-01-02 02:30:00+01:00,2.67,0.0
2024-01-02 02:45:00+01:00,3.64,0.0
2024-01-02 03:00:00+01:00,3.59,0.0
2024-01-02 03:15:00+01:00,3.55,0.0
2024-01-02 03:30:00+01:00,2.79,0.0
2024-01-02 03:45:00+01:00,2.72,0.0
2024-01-02 04:00:00+01:00,2.66,0.0
2024-01-02 04:15:00+01:00,2.73,0.0
2024-01-02 04:30:00+01:00,2.69,0.0
2024-01-02 04:45:00+01:00,2.69,0.0
2024-01-02 05:00:00+01:00,2.52,0.0
2024-01-02 05:15:00+01:00,2.73,0.0
2024-01-02 05:30:00+01:00,2.81,0.0
2024-01-02 05:45:00+01:00,3.76,0.0
2024-01-02 06:00:00+01:00,2.88,0.0
2024-01-02 06:15:00+01:00,2.8,0.0
2024-01-02 06:30:00+01:00,3.58,0.0
2024-01-02 06:45:00+01:00,3.69,0.0
2024-01-02 07:00:00+01:00,2.7,0.0
2024-01-02 07:15:00+01:00,2.66,0.0
2024-01-02 07:30:00+01:00,2.82,0.0
2024-01-02 07:45:00+01:00,2.89,0.0
2024-01-02 08:00:00+01:00,3.91,0.0
2024-01-02 08:15:00+01:00,11.64,0.0
2024-01-02 08:30:00+01:00,54.31,0.0
2024-01-02 08:45:00+01:00,133.23,0.0
2024-01-02 09:00:00+01:00,247.28,0.0
2024-01-02 09:15:00+01:00,427.05,0.0
2024-01-02 09:30:00+01:00,630.7,0.0
2024-01-02 09:45:00+01:00,852.62,0.0
2024-01-02 10:00:00+01:00,1071.62,0.0
2024-01-02 10:15:00+01:00,1287.41,0.0
2024-01-02 10:30:00+01:00,1502.56,0.0
2024-01-02 10:45:00+01:00,1719.23,0.0
2024-01-02 11:00:00+01:00,1916.47,0.0
2024-01-02 11:15:00+01:00,2103.74,0.0
2024-01-02 11:30:00+01:00,2243.44,0.0
2024-01-02 11:45:00+01:00,2373.06,0.0
2024-01-02 12:00:00+01:00,2524.96,0.0
2024-01-02 12:15:00+01:00,2622.4,0.0
2024-01-02 12:30:00+01:00,2682.75,0.0
2024-01-02 12:45:00+01:00,2693.11,0.0
2024-01-02 13:00:00+01:00,2591.7,0.0
2024-01-02 13:15:00+01:00,2455.74,0.0
2024-01-02 13:30:00+01:00,2237.47,0.0
